_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;TOT_FEMALE_TEACHERS;LOCATION_LNG;SS01_BOYS_LATRINE;LOCATION_LAT;TOT_FEMALE_STUDENTS;TYPE_OF_WATER_SOURCE;STATUS;SCHOOL_REF;LOCATION_ALT;SS01_GIRLS_LATRINE;LOCATION_ACC;TOT_MALE_TEACHERS;NO_OF_GIRLS_TOILET_BY_OTHERS;SS03;TOT_MALE_STUDENTS;SS02;SS04;NO_OF_GIRLS_TOILET_BY_BRAC;psu;sl_no;sn;ID;district;upazila;union;name_lnstitute;girlsonly;female/male teacher;female/male students
hafizur;15:51,0;0;15:51,0;0;0;1;15:51,0;15:51,0;3;89,5292188;C;23,6251627;425;E;0;209028;0;C;4559;9;2;C;602;C;B;2;9;26;28;209028;Rajbari;Baliakandi;Jamalpur;Lolia Shammohan High School;0;0,33;0,705980066
aman;22:25,0;0;22:25,0;0;0;1;22:25,0;22:25,0;3;91,4334842;B;23,1135824;500;E;0;249102;0;A;2393;11;2;A;451;D;D;2;49;147;102;249102;Chittagong;Mirswarai;Moghadia;Moghadia High School(Co-Ed);0;0,27;1,10864745
shahjahan;38:09,0;0;38:09,0;0;0;1;38:09,0;38:09,0;0;0;A;0;115;D;0;207057;0;A;0;11;0;A;90;A;A;2;7;21;57;207057;Gazipur;Kaligonj;Mokatar pur;Demra Progoti Ibrahimia Dhkil Madrasha;0;0;1,277777778
shahjahan;42:40,0;0;42:40,0;0;0;1;42:40,0;42:40,0;3;0;C;0;158;C;0;204040;0;E;0;9;1;E;137;B;C;0;4;13;40;204040;Gazipur;Kapasia;Chandpur;Nolgoan High School;0;0,33;1,153284672
aman;28:02,0;0;28:02,0;0;0;1;28:02,0;28:02,0;1;91,4334772;D;23,1135862;181;E;0;233108;0;A;2392;14;0;C;118;B;B;2;33;98;108;233108;Feni;Fulgazi;G.M. Hat;Bakshi Sha Dakhil Madrasha(Co-Ed);0;0,07;1,533898305
ranjan;21:22,0;0;21:22,0;0;0;1;21:22,0;21:22,0;11;89,7922356;F;22,6482138;270;D;0;234222;0;B;1945;8;2;D;0;C;D;2;34;102;222;234222;Bagerhat;Rampal;Rampal;Rampal Pilot Girls High School;1;1,38;
hafizur;26:03,0;0;26:03,0;0;0;1;26:03,0;26:03,0;2;89,9843853;C;23,3911537;203;E;0;241034;0;C;3050;8;0;E;139;C;C;2;41;123;34;241034;Faridpur;Sadarpur;Krisnopur;Purbokandi High School;0;0,25;1,460431655
shahjahan;28:55,0;0;28:55,0;0;0;1;28:55,0;28:55,0;5;0;A;0;282;D;0;207055;0;A;0;9;0;A;198;A;A;2;7;21;55;207055;Gazipur;Kaligonj;Jangalia;Jangalia High School;0;0,56;1,424242424
meherul;14:34,0;0;14:34,0;0;0;1;14:34,0;14:34,0;1;0;C;0;48;D;0;224238;0;A;0;15;0;C;54;B;B;2;24;68;238;224238;Bogra;Shibganj;Kichok;Dahrki Dakhil madrasa;0;0,07;0,888888889
momin;22:05,0;0;22:05,0;0;0;1;22:05,0;22:05,0;2;91,5494946;E;24,7692369;215;D;0;216164;0;B;1772;3;0;E;179;B;A;2;16;49;164;216164;Sunamgonj;Jaganathpur;Mirpur;Lamatuker Bazar High School;0;0,67;1,201117318
quddus;28:54,0;0;28:54,0;0;0;1;28:54,0;28:54,0;1;89,0222084;B;23,4111537;170;D;0;201009;0;A;2572;9;0;E;130;C;D;2;1;3;9;201009;Jhenidah;Kotchandpur;Dora;M.S.L. High School;0;0,11;1,307692308
milon;12:37,0;0;12:37,0;0;0;1;12:37,0;12:37,0;3;89,1103888;A;23,8902486;280;D;0;202016;0;A;1824;11;0;A;320;B;A;2;2;5;16;202016;Kushtia;Kushtia Sadar;Jagati;Jagati High School;0;0,27;0,875
shahidul;00:00,0;0;00:00,0;0;0;1;00:00,0;00:00,0;4;90,90994889;A;24,13693988;696;D;0;287407;-58;C;20;11;0;A;463;D;E;2;87;9;407;287407;Kishoregonj;Kuliarchor;Chhaysuti;Chhaysuti Union High School(Co-Ed);0;0,36;1,503239741
milon;14:03,0;0;14:03,0;0;0;1;14:03,0;14:03,0;5;89,1103888;A;23,8902486;215;D;0;202012;0;A;1824;8;0;A;185;A;A;2;2;5;12;202012;Kushtia;Kushtia Sadar;Jagati;Begum Hamida Siddique Collegiate School;0;0,63;1,162162162
sanjoy;11:06,0;0;11:06,0;0;0;1;11:06,0;11:06,0;2;89,0377039;C;22,8657239;194;E;0;203220;0;C;2485;11;0;E;170;C;C;2;3;9;220;203220;Satkhira;Kolaroa;Chandonpur;Hizaldi High School;0;0,18;1,141176471
quddus;01:01,0;0;01:01,0;0;0;1;01:01,0;01:01,0;4;89,0222084;B;23,4111537;233;D;0;201007;0;A;2572;9;0;A;218;C;D;2;1;3;7;201007;Jhenidah;Kotchandpur;Baluhar;Fulbari High School;0;0,44;1,068807339
shariful;00:22,0;0;00:22,0;0;0;1;00:22,0;00:22,0;2;0;C;0;432;D;0;214141;0;A;0;11;0;A;315;B;B;2;14;41;141;214141;Comilla;Nangalkot;Adra;Shaktoly High school;0;0,18;1,371428571
milon;13:01,0;0;13:01,0;0;0;1;13:01,0;13:01,0;3;89,1069205;C;23,8152239;325;D;0;202017;0;E;3143;10;0;E;300;E;E;2;2;5;17;202017;Kushtia;Kushtia Sadar;Jhaudia;Alhaz Abu Abdul Goni High School;0;0,3;1,083333333
alim;09:17,0;0;09:17,0;0;0;1;09:17,0;09:17,0;2;0;C;0;226;D;0;244371;0;C;0;9;0;A;184;A;A;2;44;133;371;244371;Natore;Natore Sadar;kafura;Chandpur High School;0;0,22;1,22826087
