_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;wealth.reported;HH7_FUTURE;LOCATION_LNG;HOUSEHOLD_REF;LOCATION_LAT;STATUS;LOCATION_ALT;HH05;HH04;MEMBER_NO_CHILD_FEMALE;HH06;HH01;LOCATION_ACC;MEMBER_NO_ADOLESCENT_FEMALE;HH03;MEMBER_NO_ADULT_FEMALE;SEX_OF_INTERVIEWEE;HH02;MEMBER_NO_CHILD_MALE;HH07_DONE;MEMBER_NO_ADULT_MALE;MEMBER_NO_ADOLESCENT_MALE;hh0;hh;wealth.reported;psu;AREA;ID;division;district;upazila;union;vwc;ultrapoor;poor;nonpoor;CountSTratWealth;weight
rezaul;55:56,0;0;55:56,0;0;0;1;55:56,0;55:56,0;np;C;0;50320;0;0;0;A;B;1;B;A;0;1;C;1;F;A;0;0;1;0;;20;np;5;1;50320;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;11,11111111
rezaul;34:12,0;0;34:12,0;0;0;1;34:12,0;34:12,0;up;A;0;50301;0;0;0;A;B;0;C;C;0;0;B;0;M;D;1;0;1;1;0;1;up;5;1;50301;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;35:57,0;0;35:57,0;0;0;1;35:57,0;35:57,0;up;A;0;50304;0;0;0;A;B;0;C;C;0;0;C;1;F;D;0;0;2;1;0;4;up;5;1;50304;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;38:31,0;0;38:31,0;0;0;1;38:31,0;38:31,0;up;A;0;50305;0;0;0;A;A;3;C;C;0;0;B;1;F;C;0;0;1;0;0;5;up;5;1;50305;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;42:28,0;0;42:28,0;0;0;1;42:28,0;42:28,0;up;A;0;50308;0;0;0;A;A;0;C;C;0;0;A;1;F;C;2;0;1;0;0;8;up;5;1;50308;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;49:37,0;0;49:37,0;0;0;1;49:37,0;49:37,0;pp;B;0;50313;0;0;0;A;B;0;B;A;0;0;B;2;F;A;1;0;2;0;;13;pp;5;1;50313;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;51:00,0;0;51:00,0;0;0;1;51:00,0;51:00,0;pp;A;0;50316;0;0;0;A;B;0;C;C;0;1;B;1;F;C;0;0;1;1;;16;pp;5;1;50316;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
shahjahan;59:55,0;0;59:55,0;0;0;1;59:55,0;59:55,0;up;C;0;40301;0;0;0;B;A;0;C;B;0;2;B;1;F;B;0;0;1;0;0;1;up;4;1;40301;;Gazipur;Kapasia;Chandpur;Chamurkhi-17;7;39;69;9;0,777777778
shahjahan;02:46,0;0;02:46,0;0;0;1;02:46,0;02:46,0;up;;0;40302;0;0;0;B;A;0;E;A;0;0;B;2;F;A;1;C;1;0;0;2;up;4;1;40302;;Gazipur;Kapasia;Chandpur;Chamurkhi-17;7;39;69;9;0,777777778
shahjahan;04:54,0;0;04:54,0;0;0;1;04:54,0;04:54,0;pp;C;0;40303;0;0;0;B;A;0;C;B;0;0;B;1;F;D;0;0;1;0;0;3;up;4;1;40303;;Gazipur;Kapasia;Chandpur;Chamurkhi-17;7;39;69;9;0,777777778
