Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Year of VWC establishment ,Year village social map was made,Total number of male members at start ,Total number of female members at start ,Total number of male members now ,Total number of female members now ,Is the area arsenic prone ,Total number of Ultra Poor HH ,Total number of poor HH,Total number of non poor HH ,Number of TW platform loan received from BRAC ,Number of DTW received from BRAC ,Number of PSF received from BRAC ,Number of other source  received from BRAC ,Please specify the other source,Number of TW platform loan received from other organisation ,Number of DTW received from other organisation ,Number of PSF received from other organisation ,Number of other source received from other organisation ,Text,VWC01sa: Drinking water source received from BRAC(source A),VWC01sb:Drinking water source received from BRAC(source B),VWC01sc:Drinking water source received from BRAC(source C),VWC02: Performance of VWC ,VWC03_men:Women's participation(men),VWC03_women:Women's participation(women),VWC03_agreed:Women's participation(agreed) 
14517678,23.169426,91.192235,2008,2008,5,6,5,6,no,22,36,146,1,0,0,0,TW,0,0,0,0,There is  no DTW here.,A,F,F,C,C,C,C
25095580,23.114301,90.756238,2012,2012,5,6,5,6,yes,53,16,149,0,0,0,0,0,0,0,0,0,0,F,F,F,C,C,B,C
25121434,24.940269,91.990965,2012,2012,5,6,5,6,no,45,55,50,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,C,C,C
14010202,24.747844,89.11253,2006,2006,5,6,5,6,no,60,17,141,1,0,0,0,0,0,0,0,0,0,B,F,F,C,C,C,C
25080969,22.507048,89.585452,2012,2012,5,6,5,6,no,12,102,13,0,0,0,0,na,0,0,0,0,na,F,F,F,B,B,B,B
25223492,24.911672,91.395829,2012,2012,5,6,5,6,yes,17,61,57,0,0,0,0,rwhs,0,0,0,1,unicef,F,E,F,C,C,C,C
25016674,25.02516,89.02165,2012,2012,5,6,5,6,no,68,18,37,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,C,C
14385355,22.868452,89.205014,2007,2007,5,6,5,6,yes,17,65,92,1,1,0,0,Na,0,0,0,0,Na,A,F,F,B,A,A,A
14436365,22.03231,92.078735,2007,2007,5,6,5,6,no,16,103,157,1,0,0,0,N/A,0,0,0,0,N/A,A,F,F,C,A,A,A
14182525,23.617571,90.138389,2007,2007,5,6,5,6,no,2,68,75,0,2,0,0,N/A,0,0,0,0,N/A,A,C,F,C,C,C,C
25104501,22.654952,91.790362,2012,2012,5,6,5,6,no,79,12,149,0,0,0,0,0,0,0,0,0,N/A,F,F,F,B,A,A,A
25121688,25.054526,92.097447,2012,2012,5,6,5,6,no,31,23,98,0,0,0,0,Na,0,0,0,0,Na,F,F,F,C,C,C,C
14263638,25.131906,90.367172,2006,2006,5,6,5,6,yes,19,137,128,0,0,0,0,o,0,0,0,0,o,F,F,F,C,D,C,C
14070808,22.733292,89.464818,2007,2007,5,6,5,6,no,42,39,26,0,0,0,1,Pipe line Supply water ( is going on),0,0,2,0,Na,F,F,F,C,C,C,C
25017337,24.913853,88.999727,2012,2012,5,6,5,6,no,60,26,49,0,0,0,0,N/A,0,0,0,0,N/A,F,F,F,C,C,B,C
25095619,23.139689,90.788104,2012,2012,5,6,5,6,no,43,8,215,0,0,0,0,O,0,0,0,0,O,F,F,F,C,C,C,C
14578486,23.433262,89.760657,2007,2007,5,6,5,6,no,8,20,66,1,0,0,0,NA,0,0,0,0,NA,B,F,F,C,C,C,C
