Sl..No,ID,code128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,HH_PSU,wealth,Ultra.poor,Poor,Non.Poor,Total,Remarks,Print Sl .no
12394,1404050513,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,13,UP,15,52,140,207,,1
12394,1404050514,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,14,UP,15,52,140,207,,1
12394,1404050515,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,15,UP,15,52,140,207,,1
12394,1404050516,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,16,UP,15,52,140,207,,1
12394,1404050521,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,21,PP,15,52,140,207,,1
12394,1404050522,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,22,PP,15,52,140,207,,1
12394,1404050523,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,23,PP,15,52,140,207,,1
12394,1404050524,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,24,PP,15,52,140,207,,1
12394,1404050525,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,25,PP,15,52,140,207,,1
12394,1404050526,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,26,PP,15,52,140,207,,1
12394,1404050531,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,31,NP,15,52,140,207,,1
12394,1404050532,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,32,NP,15,52,140,207,,1
12394,1404050533,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,33,NP,15,52,140,207,,1
12394,1404050534,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,34,NP,15,52,140,207,,1
12394,1404050535,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,35,NP,15,52,140,207,,1
12394,1404050536,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,36,NP,15,52,140,207,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
11303,1434474911,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,11,UP,16,79,128,223,,2
11303,1434474912,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,12,UP,16,79,128,223,,2
11303,1434474913,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,13,UP,16,79,128,223,,2
11303,1434474914,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,14,UP,16,79,128,223,,2
11303,1434474915,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,15,UP,16,79,128,223,,2
11303,1434474916,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,16,UP,16,79,128,223,,2
11303,1434474921,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,21,PP,16,79,128,223,,2
11303,1434474922,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,22,PP,16,79,128,223,,2
11303,1434474923,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,23,PP,16,79,128,223,,2
11303,1434474924,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,24,PP,16,79,128,223,,2
11303,1434474925,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,25,PP,16,79,128,223,,2
11303,1434474926,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,26,PP,16,79,128,223,,2
11303,1434474931,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,31,NP,16,79,128,223,,2
11303,1434474932,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,32,NP,16,79,128,223,,2
11303,1434474933,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,33,NP,16,79,128,223,,2
11303,1434474934,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,34,NP,16,79,128,223,,2
11303,1434474935,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,35,NP,16,79,128,223,,2
11303,1434474936,#NAME?,14,Gazipur,34,Kaligonj-Ga,47,Tumulia,49,Boali-1,36,NP,16,79,128,223,,2
,,#NAME?,,,,,,,,,,,,,,,,2
,,#NAME?,,,,,,,,,,,,,,,,2
11312,1434485011,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,11,UP,28,48,90,166,,2
11312,1434485012,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,12,UP,28,48,90,166,,2
11312,1434485013,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,13,UP,28,48,90,166,,2
11312,1434485014,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,14,UP,28,48,90,166,,2
11312,1434485015,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,15,UP,28,48,90,166,,2
11312,1434485016,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,16,UP,28,48,90,166,,2
11312,1434485021,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,21,PP,28,48,90,166,,2
11312,1434485022,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,22,PP,28,48,90,166,,2
11312,1434485023,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,23,PP,28,48,90,166,,2
11312,1434485024,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,24,PP,28,48,90,166,,2
11312,1434485025,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,25,PP,28,48,90,166,,2
11312,1434485026,#NAME?,14,Gazipur,34,Kaligonj-Ga,48,Jangalia,50,Shiladi,26,PP,28,48,90,166,,2
