"Sl..No","Barcode","code128","PSU","District","PSU_UP","Upazila","PSU_Union","Union","PSU_VWC","VWC","HH_PSU","wealth","Ultra.poor","Poor","Non.Poor","Total","Remarks","Print.Sl..no"
11581,1436515324,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",24,"PP",0,55,98,153,NA,2
11581,1436515325,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",25,"PP",0,55,98,153,NA,2
11581,1436515326,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",26,"PP",0,55,98,153,NA,2
11581,1436515331,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",31,"NP",0,55,98,153,NA,2
11581,1436515332,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",32,"NP",0,55,98,153,NA,2
11581,1436515333,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",33,"NP",0,55,98,153,NA,2
11581,1436515334,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",34,"NP",0,55,98,153,NA,2
11581,1436515335,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",35,"NP",0,55,98,153,NA,2
11581,1436515336,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",36,"NP",0,55,98,153,NA,2
12536,1463919311,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",11,"UP",32,129,54,215,NA,2
12536,1463919312,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",12,"UP",32,129,54,215,NA,2
12536,1463919313,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",13,"UP",32,129,54,215,NA,2
12536,1463919314,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",14,"UP",32,129,54,215,NA,2
12536,1463919315,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",15,"UP",32,129,54,215,NA,2
12536,1463919316,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",16,"UP",32,129,54,215,NA,2
12536,1463919321,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",21,"PP",32,129,54,215,NA,2
12536,1463919322,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",22,"PP",32,129,54,215,NA,2
12536,1463919323,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",23,"PP",32,129,54,215,NA,2
12536,1463919324,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",24,"PP",32,129,54,215,NA,2
12536,1463919325,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",25,"PP",32,129,54,215,NA,2
12536,1463919326,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",26,"PP",32,129,54,215,NA,2
12536,1463919331,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",31,"NP",32,129,54,215,NA,2
12536,1463919332,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",32,"NP",32,129,54,215,NA,2
12536,1463919333,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",33,"NP",32,129,54,215,NA,2
12536,1463919334,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",34,"NP",32,129,54,215,NA,2
12536,1463919335,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",35,"NP",32,129,54,215,NA,2
12536,1463919336,NA,14,"Manikgonj",63,"Shibalaya",91,"Uthali",93,"Birbasail",36,"NP",32,129,54,215,NA,2
38249,1424333411,NA,14,"Tangail  ",24,"Gopalpur",33,"Alomnagar ",34,"Joynagar- 1",11,"UP",12,108,50,170,NA,3
38249,1424333412,NA,14,"Tangail  ",24,"Gopalpur",33,"Alomnagar ",34,"Joynagar- 1",12,"UP",12,108,50,170,NA,3
38249,1424333413,NA,14,"Tangail  ",24,"Gopalpur",33,"Alomnagar ",34,"Joynagar- 1",13,"UP",12,108,50,170,NA,3
